num,stationCode,stationName,stop_lat,stop_lon
1,TRL,TIRUVALLUR,13.116094,79.913435
2,PTLR,PUTLUR HALT,13.123134,79.936883
3,SVR,SEVVAPET ROAD,13.12503,79.965734
4,VEU,VEPPAMPATTU,13.123617,79.998407
5,TI,TIRUNINRAVUR,13.123784,80.026989
6,NEC,Nemilicherry,13.121702,80.043756
7,PAB,Pattabiram,13.118657,80.064985
8,HC,HINDU COLLEGE,13.118627,80.074869
9,AVD,AVADI,13.118017,80.100288
10,ANNR,ANNANUR,13.116322,80.126796
11,TMVL,TIRUMULLAIVAYIL,13.115384,80.136981
12,ABU,AMBATTUR,13.114171,80.153418
13,PVM,PATTARAVAKKAM,13.114631,80.166137
14,KOTR,KORATTUR,13.113621,80.183646
15,VLK,VILLIVAKKAM,13.109992,80.209551
16,PEW,Perambur Loco Works,13.108498,80.226216
17,PCW,Perambur Carriage Works,13.107281,80.238886
18,PER,PERAMBUR,13.1074,80.244913
19,VJM,Vyasarpadi Jeeva,13.109196,80.25722
20,WST,WASHERMANPET,13.108773,80.28257
21,RPM,ROYAPURAM,13.103973,80.293622
22,MSB,CHENNAI BEACH,13.09043,80.291691
23,MSF,CHENNAI FORT,13.08324,80.282636
24,MPKT,Chennai Park Town,13.079587,80.276295
25,MCPT,Chintadaripet,13.073795,80.273861
26,MCPK,Chepauk,13.062655,80.280755
27,MTCN,Thiruvallikeni,13.055935,80.280604
28,MLHS,Light House,13.045537,80.276989
29,MTMY,TIRUMAILAI,13.035176,80.267388
30,MNDY,Mandaveli,13.028093,80.260618
31,GWYR,Greenways Road,13.021585,80.252729
32,KTPM,Kotturpuram,13.013718,80.248452
33,KTBR,Kasturiba Nagar,13.006245,80.247791
34,TYMR,Tiruvanmiyur,12.988982,80.251587
35,TRMN,Taramani,12.978658,80.241644
36,PRGD,Perungudi,12.976058,80.232192
37,VLCY,VELACHERY,12.967382,80.219507
